Area (CN),restaurant name, overall rate, average price, num of comments, Area (EN)
黄浦,innisfree Green Café,8.40,52,1455,Huangpu
黄浦,V COFFEE,8.47,30,1207,Huangpu
黄浦,seewant cafe(浙江中路店),8.50,29,1695,Huangpu
长宁,ZOOCOFFEE(定西路店),8.13,43,1660,Changning
长宁,Boom Cafe,8.40,61,1741,Changning
长宁,麒麟猫咪咖啡馆,8.90,54,2593,Changning
静安,Seesaw Coffee(愚园路店),8.33,48,1562,Jingan
静安,途尚咖啡(吴江路店),8.30,52,1719,Jingan
静安,途尚咖啡(静安寺店),8.37,59,2222,Jingan
杨浦,猫的天空之城概念书店(大学路店),8.07,41,2646,Yangpu
杨浦,卡旺卡(五角场店),8.23,12,1839,Yangpu
杨浦,CaffeBene咖啡陪你(滨江百联店),8.10,43,1046,Yangpu
闸北,西九巷咖啡(大宁店),8.03,53,5455,Zhabei
闸北,SOME COFFEE BAR(大宁店),8.43,99,1226,Zhabei
闸北,Aranzi Cafe 阿郎奇咖啡(大悦城...,8.27,72,2386,Zhabei
卢湾,辻利TSUJIRI(日月光店),8.33,37,3806,Luwan
卢湾,V COFFEE,8.47,30,1207,Luwan
卢湾,Paras Coffee(P家),8.43,84,2352,Luwan
虹口,甜爱Lounge,8.53,77,1877,Hongkou
虹口,Canil狗窝,8.17,74,2798,Hongkou
虹口,老友记主题店,8.03,59,1344,Hongkou
宝山,SOME COFFEE BAR(宝山店),8.20,80,2276,Baoshan
宝山,ZOO COFFEE(大华店),8.43,58,1254,Baoshan
宝山,MaanCoffee(真华路店),8.23,53,1013,Baoshan
浦东,CaffeBene咖啡陪你(川沙玛雅店),8.23,42,1077,Pudong
浦东,CAFELICIOUS,7.97,67,1062,Pudong
浦东,Maan Coffee(金桥店),8.27,53,1120,Pudong
松江,王小姐的店(七年老店),7.87,42,1014,Songjiang
普陀,小芳廷,8.30,130,2490,Putuo
普陀,BONBONS Hello Kitty Cafe（上海...,7.90,62,1836,Putuo
普陀,新发展亚太JW万豪酒店福苑咖啡厅...,8.20,251,1229,Putuo
闵行,途尚咖啡(南方城店),7.93,45,1199,Minhang
闵行,咖咖奥咖啡厅(虹泉路店),8.43,51,3857,Minhang
闵行,ZOO COFFEE(闵行公园店),8.13,46,1058,Minhang
徐汇,满咖3WISEMONKEYS,8.40,68,1366,Xuhui
徐汇,Ditto 我也是英式下午茶,8.57,116,1066,Xuhui
徐汇,拉莫 Rameau,8.33,60,1668,Xuhui
