Area (CN), avg flv ratio, avg srv ratio, avg env ratio, Area (EN)
黄浦,7.733,7.559,7.608,Huangpu
嘉定,8.009,7.874,8.048,Jiading
长宁,7.792,7.673,7.718,Changning
静安,7.778,7.653,7.704,Jingan
杨浦,7.830,7.665,7.759,Yangpu
闸北,7.813,7.646,7.767,Zhabei
卢湾,7.789,7.685,7.776,Luwan
虹口,7.793,7.632,7.704,Hongkou
宝山,7.971,7.800,7.918,Baoshan
崇明,8.000,8.000,8.100,Chongming
青浦,7.908,7.731,8.015,Qingpu
浦东,7.848,7.688,7.830,Pudong
松江,8.041,7.902,8.067,Songjiang
普陀,7.808,7.641,7.730,Putuo
金山,8.100,8.100,8.125,Jinshan
奉贤,7.908,7.958,8.167,Fengxian
闵行,7.931,7.768,7.907,Minhang
徐汇,7.840,7.691,7.773,Xuhui
